X,Y,OBJECTID,KC_Fac_FID,KCParkFID,SiteName,SiteType,Owner,OwnerType,Manager,ManageType,Maintd_By,MaintType,Label_Type
-122.349183486282,47.3226999332398,351,7252,4210704,SW 312th Sports Courts,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.322069567399,47.319508437973,352,2441,4210801,Mirror Lake Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.313847041924,47.3290624402929,353,2851,4210802,Kenneth Jones Pool Site,Pool Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.301546420339,47.3250928112429,354,2440,4210901,Steel Lake Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,0
-122.300205346837,47.3209106883387,355,2440,4210901,Steel Lake Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.27347232327,47.3238992759373,356,6885,4211001,Pipeline Number 5 Trail Site,Trail Site Regional,Other Private,Private,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.250912685324,47.3176310037916,357,2439,4211101,Gaines Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1
-122.259794902495,47.3221997239835,358,7589,4211102,Jornada Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1
-122.230424731749,47.3077513279299,359,2438,4211301,City Hall - Auburn,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1
-122.242828277439,47.3156153317353,360,7839,4211302,Auburn Environmental Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1
-122.257390879846,47.3046165749534,361,2436,4211402,Centennial Viewpoint Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1
-122.30450529071,47.3037032605403,362,6917,4211601,Thompson Park - Federal Way,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.319840602806,47.3074210816411,363,2435,4211701,Celebration Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.353824667011,47.3106653360319,364,2434,4211801,Alderbrook Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,0
-122.354935626375,47.3073316111619,365,2434,4211801,Alderbrook Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.337366670694,47.3028896894439,366,2946,4211802,West Campus Trail Site,Trail Site Regional,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,0
-122.336202757114,47.308136236152,367,2946,4211802,West Campus Trail Site,Trail Site Regional,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.349436805186,47.3052541120279,368,6920,4211803,English Gardens Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,0
-122.351935857714,47.3037079397685,369,6920,4211803,English Gardens Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.339199140115,47.2969354324815,370,2422,4211902,Panther Lake Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.353051305665,47.2988140719149,371,2432,4211903,Saghalie Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.338034060793,47.3002262068016,372,2976,4211905,BPA Trail Site,Trail Site Regional,Other Utility District,Other Government,City of Federal Way,City,City of Federal Way,City,0
-122.347644540411,47.2950850185357,373,2976,4211905,BPA Trail Site,Trail Site Regional,Other Utility District,Other Government,City of Federal Way,City,City of Federal Way,City,1
-122.344047271621,47.2970127202856,374,2854,4211906,Weyerhaeuser King County Aquatic Center Site,Pool Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.343161057965,47.2954447788167,375,2854,4211906,Weyerhaeuser King County Aquatic Center Site,Pool Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.326647130078,47.2870866065933,376,2443,4212001,West Hylebos Wetlands Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.277538090443,47.2924788157527,377,2429,4212201,Lake Geneva Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.276857542996,47.2942439996166,378,2429,4212201,Lake Geneva Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.291162847482,47.2874319965268,379,2795,4212202,Lake Killarney Open Space,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.257093830882,47.2875370944219,380,8124,4212301,7th Avenue Park,Park Site,City of Algona,City,City of Algona,City,City of Algona,City,1
-122.233307856586,47.2967315348137,381,2427,4212401,GSA Ballfield Park,Park Site,City of Auburn,City,City of Auburn,City,City of Auburn,City,1
-122.243281832749,47.289940640685,382,2973,4212402,Interurban Trail Site - Algona,Trail Site Regional,Puget Sound Energy,Other Government,King County Parks and Recreation,King County Parks,City of Algona,City,0
-122.247809557639,47.2831748488307,383,2973,4212402,Interurban Trail Site - Algona,Trail Site Regional,Puget Sound Energy,Other Government,King County Parks and Recreation,King County Parks,City of Algona,City,1
-122.248606495305,47.2773131664341,384,2426,4212501,Matchett Park,Park Site,City of Algona,City,City of Algona,City,City of Algona,City,0
-122.248347515456,47.277931335814,385,2426,4212501,Matchett Park,Park Site,City of Algona,City,City of Algona,City,City of Algona,City,1
-122.248409851246,47.2817203403361,386,8123,4212502,Bike Trail Park,Park Site,City of Algona,City,City of Algona,City,City of Algona,City,1
-122.247855055376,47.2807925764763,387,8125,4212503,City Of Algona,Park Site,City of Algona,City,City of Algona,City,City of Algona,City,1
-122.247479829527,47.2813212398653,388,8126,4212504,Junction Park,Park Site,City of Algona,City,City of Algona,City,City of Algona,City,1
-122.249863918596,47.2794583477638,389,8109,4212603,Waffle Park,Park Site,City of Algona,City,City of Algona,City,City of Algona,City,0
-122.250029525124,47.2793321129275,390,8109,4212603,Waffle Park,Park Site,City of Algona,City,City of Algona,City,City of Algona,City,1
-122.279625682575,47.2755804584001,391,2425,4212701,Five Mile Lake Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.281268424267,47.2744244452789,392,2425,4212701,Five Mile Lake Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.274977347815,47.28354008109,393,2424,4212702,South County Ballfields,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.254244564482,47.2685178046312,394,15344,4213502,Elise Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,1
-122.258762985536,47.260086304651,395,15342,4213503,Beaver Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,1
-122.255802849705,47.2592815188397,396,15346,4213504,Otter Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,0
-122.255853869285,47.2591765929752,397,15346,4213504,Otter Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,1
-122.25512131899,47.2602651400249,398,15347,4213505,Rhubarb Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,1
-122.252639432332,47.2593749996152,399,15348,4213506,Strawberry Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,1
-122.251459709165,47.2608992059905,400,15343,4213507,Blueberry Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,1
-122.250914544598,47.2604815121675,401,15345,4213508,Milwaukee Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,0
-122.250593011114,47.2601300701068,402,15345,4213508,Milwaukee Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,1
-122.264973261524,47.2659998280683,403,15351,4213509,West Hill Passive Area,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,1
-122.237319629754,47.263250241499,404,2423,4213601,Pacific City Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,1
-122.234668677448,47.2686024980308,405,15341,4213602,Aspen Park,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,1
-122.244314757204,47.2654429763513,406,15349,4213603,Sunset Park - Pacific,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,1
-122.247706802202,47.2641564883786,407,15350,4213604,Volunteer Park - Pacific,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,0
-122.248541160748,47.2638893328096,408,15350,4213604,Volunteer Park - Pacific,Park Site,City of Pacific,City,City of Pacific,City,City of Pacific,City,1
-122.199291476083,47.3221986624584,409,2968,4220202,Green River Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.252039464257,47.4749392060621,410,2968,4220202,Green River Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.201350489828,47.321305554691,411,2968,4220202,Green River Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2
-122.234286708281,47.36826910079,412,2968,4220202,Green River Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,3
-122.264687234783,47.4212762666578,413,15314,4220203,Three Friends Fishing Hole,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.323206679747,47.4115540535063,414,2508,4220401,Des Moines Creek Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,0
-122.311631720887,47.4129271254912,415,2508,4220401,Des Moines Creek Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.293737279637,47.4281889057042,416,2565,4220402,Angle Lake Park,Park Site,City of SeaTac,City,City of SeaTac,City,City of SeaTac,City,1
-122.306860185996,47.4200261826176,417,4552,4220403,Des Moines Creek Park - SeaTac,Park Site,City of SeaTac,City,City of SeaTac,City,City of SeaTac,City,0
-122.30766179017,47.4157736874933,418,4552,4220403,Des Moines Creek Park - SeaTac,Park Site,City of SeaTac,City,City of SeaTac,City,City of SeaTac,City,1
-122.327888831647,47.430302292217,419,5306,4220404,Westwood Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.344953559405,47.4313760735806,420,2467,4220601,Nature Trails Park,Park Site,City of Normandy Park,City,City of Normandy Park,City,City of Normandy Park,City,1
-122.339802124705,47.4242064273837,421,5105,4220603,Marvista Park,Park Site,City of Normandy Park,City,City of Normandy Park,City,City of Normandy Park,City,1
-122.340408835975,47.4131063909017,422,2550,4220701,Marine View Park,Park Site,City of Normandy Park,City,City of Normandy Park,City,City of Normandy Park,City,1
-122.328021058528,47.4057749262675,423,2549,4220801,Des Moines Beach Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.321227235525,47.4052383654222,424,2548,4220802,Field House Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.328033085541,47.4156734524251,425,5307,4220804,Water Tower Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.325344452141,47.4071302046592,426,5308,4220805,Big Catch Plaza,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.328986739484,47.4029834078711,427,5312,4220806,Overlook Park II,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.328209960199,47.4017791604991,428,5313,4220807,Overlook Park I,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.296081760457,47.4031493010921,429,2547,4220901,Midway Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.306543216391,47.4058837559937,430,5309,4220902,Steven J. Underwood Memorial Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.272196755754,47.4060490983351,431,2546,4221001,Van Dorens Landing Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.283620583897,47.4078627008473,432,4550,4221002,Robert Morris Earthworks Park,Park Site,King County DOT,County,King County Cultural Resources Division,County,King County Cultural Resources Division,County,1
-122.271114318639,47.4136195462973,433,6962,4221003,Valley Floor Community Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.262888601245,47.4056418115482,434,2545,4221101,Green River Natural Resources Area,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.229882575051,47.3892333402024,435,2532,4221302,Kent Memorial Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,0
-122.229398442461,47.390264645576,436,2532,4221302,Kent Memorial Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.235123559671,47.3881816196375,437,7291,4221303,Kiwanis Park #2,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.239064280641,47.3904637907574,438,15312,4221304,Commons Neighborhood Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,0
-122.239481188093,47.3897870740914,439,15312,4221304,Commons Neighborhood Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.285451878465,47.3983785020527,440,2542,4221501,Grandview Park,Park Site,City of SeaTac,City,City of SeaTac,City,City of SeaTac,City,1
-122.272883203175,47.3947350364011,441,2553,4221502,Green River Trail Site - Kent,Trail Site Regional,City of Kent,City,King County Parks and Recreation,King County Parks,City of Kent,City,0
-122.268807317785,47.4087083375633,442,2553,4221502,Green River Trail Site - Kent,Trail Site Regional,City of Kent,City,King County Parks and Recreation,King County Parks,City of Kent,City,1
-122.271838108605,47.3880705363131,443,3063,4221503,Cottonwood Grove Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.303304746834,47.3959079328523,444,2539,4221601,City Park - Des Moines,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.308408721863,47.3978249379352,445,2877,4221603,Mount Rainier Pool Site,Pool Site,Highline School District,School District,Highline School District,School District,Highline School District,School District,1
-122.313699291459,47.3887651419625,446,2538,4221701,Zenith Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.328131636934,47.3980721742814,447,5314,4221702,South Marina Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.326664605517,47.3878105818016,448,5316,4221703,South 239th Beach Access,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.323687443723,47.3735154415258,449,2537,4222001,Saltwater State Park,Park Site,Washington State Parks,State,Washington State Parks,State,Washington State Parks,State,0
-122.317026252001,47.3743289525146,450,2537,4222001,Saltwater State Park,Park Site,Washington State Parks,State,Washington State Parks,State,Washington State Parks,State,1
-122.316085840012,47.3779574686132,451,5315,4222002,Cecil Powell Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.299918068693,47.3836409518139,452,2536,4222101,Parkside Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,0
-122.300829593793,47.383808420643,453,2536,4222101,Parkside Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.30107762561,47.382034954768,454,5310,4222102,Parkside Wetlands,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,0
-122.302036944118,47.3803359762998,455,5310,4222102,Parkside Wetlands,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.310523550665,47.3800420366558,456,5311,4222103,Sonju Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.300094756582,47.3802996102539,457,7284,4222104,Salt Air Vista Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.269124649541,47.3769922359991,458,2535,4222201,Old Fishing Hole Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.289360718301,47.3802861065666,459,7305,4222202,Linda Heights Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.287473302994,47.3759474193824,460,7285,4222203,Old Fire Station Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.272015517061,47.3807732107802,461,2534,4222301,Riverbend Golf Course,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,0
-122.266310739943,47.3827453098076,462,2534,4222301,Riverbend Golf Course,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.259980985857,47.3849277730617,463,2563,4222302,Hogan Park at Russell Road,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.263033616721,47.3775158625537,464,5056,4222303,Mullen Slough Natural Area,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,0
-122.261356898812,47.3772102899257,465,5056,4222303,Mullen Slough Natural Area,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.240325917294,47.3780742621173,466,2543,4222402,Willis Street Greenbelt,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.241543816047,47.3822152929303,467,2574,4222403,Uplands Playfield,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.241564453198,47.3843268328226,468,7286,4222405,Kent Lions Skate Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.235196006184,47.3810917122589,469,7293,4222406,Kherson Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.233281744721,47.3799846667064,470,7294,4222407,Titus Railroad Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.233274839829,47.3822488064966,471,7295,4222408,Kaibara Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.233258034574,47.3812718431843,472,7296,4222409,Rosebed Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.232673694429,47.3824378301467,473,7297,4222410,Burlington Green,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.227917323964,47.380945961115,474,7298,4222411,Gowe St Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.239745953437,47.3765599453465,475,7299,4222412,Kiwanis Park #4,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.233664666646,47.3768815554403,476,7300,4222413,Kiwanis Park #1,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.242248180422,47.3694035555508,477,2573,4222501,Foster Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,0
-122.241530491228,47.3696874286392,478,2573,4222501,Foster Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.283069244062,47.3687953393369,479,2572,4222701,West Fenwick Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,0
-122.282185723815,47.3710189110164,480,2572,4222701,West Fenwick Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.274681188664,47.3661375426963,481,2571,4222702,Lake Fenwick Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,0
-122.270864194452,47.3678910864426,482,2571,4222702,Lake Fenwick Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.290507203622,47.362313027223,483,2570,4222703,Glenn Nelson Park,Park Site,City of Kent,City,City of Kent,City,City of Kent,City,1
-122.320295626214,47.3633338974544,484,2569,4222901,Woodmont Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,0
-122.319619049102,47.3626031226996,485,2569,4222901,Woodmont Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.324818285907,47.3484012125848,486,2568,4223201,Redondo Waterfront Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,0
-122.32376062143,47.3479411300594,487,2568,4223201,Redondo Waterfront Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.322563908486,47.3484789279511,488,2567,4223202,Wooten Park,Park Site,City of Des Moines,City,City of Des Moines,City,City of Des Moines,City,1
-122.301260471389,47.3493244791392,489,6916,4223301,Heritage Woods Park,Park Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City,1
-122.285083701204,47.347613482106,490,2566,4223401,Bingaman Pond Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.283170886722,47.347789659618,491,2566,4223401,Bingaman Pond Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.283835834939,47.3487673282819,492,2566,4223401,Bingaman Pond Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,2
-122.240021627836,47.2949889841463,493,2966,4223601,Interurban Trail Site - Auburn,Trail Site Regional,Puget Sound Energy,Other Government,King County Parks and Recreation,King County Parks,City of Auburn,City,0
-122.23932334228,47.3260033947444,494,2966,4223601,Interurban Trail Site - Auburn,Trail Site Regional,Puget Sound Energy,Other Government,King County Parks and Recreation,King County Parks,City of Auburn,City,1
-122.231319668628,47.3572358690363,495,4971,4223602,Green River Farm,Farm Site,King County WLRD,County,King County WLRD,County,King County WLRD,County,0
-122.231348732132,47.3596151279903,496,4971,4223602,Green River Farm,Farm Site,King County WLRD,County,King County WLRD,County,King County WLRD,County,1
-122.246840942918,47.5103194037549,497,7078,4230101,Lakeridge Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.247167084191,47.5060446380462,498,2554,4230102,Lakeridge Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.249152619429,47.5089149479081,499,2554,4230102,Lakeridge Park,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.26682203255,47.5092519693424,500,2564,4230201,Kubota Gardens,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,0
-122.26606435862,47.5129379621061,501,2564,4230201,Kubota Gardens,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.260061341788,47.5143114639969,502,2797,4230202,Fred Hutchinson Playground,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.250035790522,47.510612737681,503,7217,4230203,Thayer Place,Park Site,City of Seattle,City,City of Seattle,City,City of Seattle,City,1
-122.298478604328,47.5035857711436,504,2575,4230401,Cecil Moses Memorial Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.297677587587,47.5035668094234,505,2575,4230401,Cecil Moses Memorial Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.310446372591,47.5124238451,506,4859,4230402,Hamm Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.310856799712,47.5111525758391,507,4859,4230402,Hamm Creek Natural Area,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.295114338435,47.5039181354714,508,4868,4230403,Site 1 Duwamish,Park Site,King County WLRD,County,King County WLRD,County,King County WLRD,County,0
-122.295695384589,47.5034218732836,509,4868,4230403,Site 1 Duwamish,Park Site,King County WLRD,County,King County WLRD,County,King County WLRD,County,1
-122.302384808725,47.5113222253923,510,8042,4230404,Turning Basin Number 3,Park Site,Port of Seattle,Other Government,Port of Seattle,Other Government,Port of Seattle,Other Government,0
-122.303040246472,47.5107576462144,511,8042,4230404,Turning Basin Number 3,Park Site,Port of Seattle,Other Government,Port of Seattle,Other Government,Port of Seattle,Other Government,1
-122.322535771776,47.5112820575373,512,15339,4230501,Glendale Forest,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.344264651326,47.502764217464,513,2562,4230601,Dick Thurnau Memorial Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.344319296923,47.5038729362424,514,2562,4230601,Dick Thurnau Memorial Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.337131090745,47.4902858419976,515,2555,4230704,Hazel Valley Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,0
-122.337777703893,47.4895079560085,516,2555,4230704,Hazel Valley Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1
-122.342470269708,47.499842545533,517,2869,4230705,Evergreen Pool Site,Pool Site,Highline School District,School District,Highline School District,School District,Highline School District,School District,1
-122.350367655872,47.489546846755,518,7592,4230711,Jacob Ambaum Area Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,0
-122.350655014522,47.4891748115214,519,7592,4230711,Jacob Ambaum Area Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1
-122.33029873808,47.4933297986773,520,2521,4230801,Arbor Lake Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1
-122.316079850777,47.4949996262963,521,2489,4230802,Southern Heights Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1
-122.300364709386,47.4900602840216,522,2506,4230901,Hilltop Park,Park Site,City of Burien,City,City of Burien,City,City of Burien,City,1
-122.278181273694,47.4913894121881,523,2504,4231001,Tukwila Community Center,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,1
-122.285247448238,47.5018364968184,524,7958,4231002,Duwamish Hill Preserve,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,1
-122.278836124068,47.4984862169229,525,7959,4231003,Duwamish Park - Tukwila,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,1
-122.269567704475,47.4896794609019,526,7956,4231102,Codiga Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,1
-122.244908963996,47.4954265665688,527,2503,4231201,Skyway Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.242682544273,47.4947835327694,528,2503,4231201,Skyway Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.231845937873,47.4943890946547,529,2502,4231202,Bryn Mawr Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,0
-122.232721574116,47.4964035905253,530,2502,4231202,Bryn Mawr Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,1
-122.232385559685,47.4917537734189,531,4978,4231207,West Hill Community Center Site,Other Site,Renton School District,School District,Boys and Girls Club,Private,Boys and Girls Club,Private,0
-122.232261176235,47.4919540504709,532,4978,4231207,West Hill Community Center Site,Other Site,Renton School District,School District,Boys and Girls Club,Private,Boys and Girls Club,Private,1
-122.239538936255,47.4763176592827,533,2500,4231301,Black River Forest,Park Site,City of Renton,City,City of Renton,City,City of Renton,City,1
-122.256330389192,47.4779805554498,534,2488,4231401,Foster Golf Links,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,0
-122.264619050303,47.4819699805917,535,2488,4231401,Foster Golf Links,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,1
-122.268950190978,47.478004250237,536,2498,4231402,Joseph Foster Memorial Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,0
-122.268851413824,47.4797721272653,537,2498,4231402,Joseph Foster Memorial Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,1
-122.264410978873,47.4842038120227,538,7957,4231403,57th Avenue South Mini Park,Park Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,1
-122.277724936968,47.4745967306373,539,2865,4231501,Tukwila Pool Site,Pool Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City,1
